model,tourType,variable,alternative,units,latentClass,value
modeChoice,Path,waitTime,hov2,util/min,shopping,
modeChoice,Path,waitTime,hov2,util/min,eatout,
modeChoice,Path,waitTime,hov2,util/min,othmaint,
modeChoice,Path,waitTime,hov2,util/min,social,
modeChoice,Path,waitTime,hov2,util/min,othdiscr,
modeChoice,Path,waitTime,hov2,util/min,atwork,
modeChoice,Path,waitTime,hov2_teleportation,util/min,work,
modeChoice,Path,waitTime,hov2_teleportation,util/min,univ,
modeChoice,Path,waitTime,hov2_teleportation,util/min,school,
modeChoice,Path,waitTime,hov2_teleportation,util/min,escort,
modeChoice,Path,waitTime,hov2_teleportation,util/min,shopping,
modeChoice,Path,waitTime,hov2_teleportation,util/min,eatout,
modeChoice,Path,waitTime,hov2_teleportation,util/min,othmaint,
modeChoice,Path,waitTime,hov2_teleportation,util/min,social,
modeChoice,Path,waitTime,hov2_teleportation,util/min,othdiscr,
modeChoice,Path,waitTime,hov2_teleportation,util/min,atwork,
modeChoice,Path,waitTime,hov3,util/min,work,
modeChoice,Path,waitTime,hov3,util/min,univ,
modeChoice,Path,waitTime,hov3,util/min,school,
modeChoice,Path,waitTime,hov3,util/min,escort,
modeChoice,Path,waitTime,hov3,util/min,shopping,
modeChoice,Path,waitTime,hov3,util/min,eatout,
modeChoice,Path,waitTime,hov3,util/min,othmaint,
modeChoice,Path,waitTime,hov3,util/min,social,
modeChoice,Path,waitTime,hov3,util/min,othdiscr,
modeChoice,Path,waitTime,hov3,util/min,atwork,
modeChoice,Path,waitTime,hov3_teleportation,util/min,work,
modeChoice,Path,waitTime,hov3_teleportation,util/min,univ,
modeChoice,Path,waitTime,hov3_teleportation,util/min,school,
modeChoice,Path,waitTime,hov3_teleportation,util/min,escort,
modeChoice,Path,waitTime,hov3_teleportation,util/min,shopping,
modeChoice,Path,waitTime,hov3_teleportation,util/min,eatout,
modeChoice,Path,waitTime,hov3_teleportation,util/min,othmaint,
modeChoice,Path,waitTime,hov3_teleportation,util/min,social,
modeChoice,Path,waitTime,hov3_teleportation,util/min,othdiscr,
modeChoice,Path,waitTime,hov3_teleportation,util/min,atwork,
modeChoice,Path,waitTime,ride_hail,util/min,work,-0.054
modeChoice,Path,waitTime,ride_hail,util/min,univ,-0.09
modeChoice,Path,waitTime,ride_hail,util/min,school,-0.09
modeChoice,Path,waitTime,ride_hail,util/min,escort,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,shopping,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,eatout,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,othmaint,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,social,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,ride_hail,util/min,atwork,-0.076
modeChoice,Path,waitTime,ride_hail_pooled,util/min,work,-0.054
modeChoice,Path,waitTime,ride_hail_pooled,util/min,univ,-0.09
modeChoice,Path,waitTime,ride_hail_pooled,util/min,school,-0.09
modeChoice,Path,waitTime,ride_hail_pooled,util/min,escort,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,shopping,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,eatout,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,othmaint,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,social,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,ride_hail_pooled,util/min,atwork,-0.076
modeChoice,Path,waitTime,ride_hail_transit,util/min,work,-0.054
modeChoice,Path,waitTime,ride_hail_transit,util/min,univ,-0.09
modeChoice,Path,waitTime,ride_hail_transit,util/min,school,-0.09
modeChoice,Path,waitTime,ride_hail_transit,util/min,escort,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,shopping,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,eatout,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,othmaint,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,social,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,ride_hail_transit,util/min,atwork,-0.076
modeChoice,Path,waitTime,walk,util/min,work,
modeChoice,Path,waitTime,walk,util/min,univ,
modeChoice,Path,waitTime,walk,util/min,school,
modeChoice,Path,waitTime,walk,util/min,escort,
modeChoice,Path,waitTime,walk,util/min,shopping,
modeChoice,Path,waitTime,walk,util/min,eatout,
modeChoice,Path,waitTime,walk,util/min,othmaint,
modeChoice,Path,waitTime,walk,util/min,social,
modeChoice,Path,waitTime,walk,util/min,othdiscr,
modeChoice,Path,waitTime,walk,util/min,atwork,
modeChoice,Path,waitTime,walk_transit,util/min,work,-0.054
modeChoice,Path,waitTime,walk_transit,util/min,univ,-0.09
modeChoice,Path,waitTime,walk_transit,util/min,school,-0.09
modeChoice,Path,waitTime,walk_transit,util/min,escort,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,shopping,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,eatout,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,othmaint,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,social,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,othdiscr,-0.07
modeChoice,Path,waitTime,walk_transit,util/min,atwork,-0.076
modeChoice,Path,egressTime,bike,util/min,work,
modeChoice,Path,egressTime,bike,util/min,univ,
modeChoice,Path,egressTime,bike,util/min,school,
modeChoice,Path,egressTime,bike,util/min,escort,
modeChoice,Path,egressTime,bike,util/min,shopping,
modeChoice,Path,egressTime,bike,util/min,eatout,
modeChoice,Path,egressTime,bike,util/min,othmaint,
modeChoice,Path,egressTime,bike,util/min,social,
modeChoice,Path,egressTime,bike,util/min,othdiscr,
modeChoice,Path,egressTime,bike,util/min,atwork,
modeChoice,Path,egressTime,bike_transit,util/min,work,-0.054
modeChoice,Path,egressTime,bike_transit,util/min,univ,-0.09
modeChoice,Path,egressTime,bike_transit,util/min,school,-0.09
modeChoice,Path,egressTime,bike_transit,util/min,escort,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,shopping,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,eatout,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,othmaint,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,social,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,bike_transit,util/min,atwork,-0.076
modeChoice,Path,egressTime,car,util/min,work,-0.054
modeChoice,Path,egressTime,car,util/min,univ,-0.09
modeChoice,Path,egressTime,car,util/min,school,-0.09
modeChoice,Path,egressTime,car,util/min,escort,-0.07
modeChoice,Path,egressTime,car,util/min,shopping,-0.07
modeChoice,Path,egressTime,car,util/min,eatout,-0.07
modeChoice,Path,egressTime,car,util/min,othmaint,-0.07
modeChoice,Path,egressTime,car,util/min,social,-0.07
modeChoice,Path,egressTime,car,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,car,util/min,atwork,-0.076
modeChoice,Path,egressTime,drive_transit,util/min,work,-0.054
modeChoice,Path,egressTime,drive_transit,util/min,univ,-0.09
modeChoice,Path,egressTime,drive_transit,util/min,school,-0.09
modeChoice,Path,egressTime,drive_transit,util/min,escort,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,shopping,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,eatout,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,othmaint,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,social,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,drive_transit,util/min,atwork,-0.076
modeChoice,Path,egressTime,hov2,util/min,work,-0.054
modeChoice,Path,egressTime,hov2,util/min,univ,-0.09
modeChoice,Path,egressTime,hov2,util/min,school,-0.09
modeChoice,Path,egressTime,hov2,util/min,escort,-0.07
modeChoice,Path,egressTime,hov2,util/min,shopping,-0.07
modeChoice,Path,egressTime,hov2,util/min,eatout,-0.07
modeChoice,Path,egressTime,hov2,util/min,othmaint,-0.07
modeChoice,Path,egressTime,hov2,util/min,social,-0.07
modeChoice,Path,egressTime,hov2,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,hov2,util/min,atwork,-0.076
modeChoice,Path,egressTime,hov2_teleportation,util/min,work,-0.054
modeChoice,Path,egressTime,hov2_teleportation,util/min,univ,-0.09
modeChoice,Path,egressTime,hov2_teleportation,util/min,school,-0.09
modeChoice,Path,egressTime,hov2_teleportation,util/min,escort,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,shopping,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,eatout,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,othmaint,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,social,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,hov2_teleportation,util/min,atwork,-0.076
modeChoice,Path,egressTime,hov3,util/min,work,-0.054
modeChoice,Path,egressTime,hov3,util/min,univ,-0.09
modeChoice,Path,egressTime,hov3,util/min,school,-0.09
modeChoice,Path,egressTime,hov3,util/min,escort,-0.07
modeChoice,Path,egressTime,hov3,util/min,shopping,-0.07
modeChoice,Path,egressTime,hov3,util/min,eatout,-0.07
modeChoice,Path,egressTime,hov3,util/min,othmaint,-0.07
modeChoice,Path,egressTime,hov3,util/min,social,-0.07
modeChoice,Path,egressTime,hov3,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,hov3,util/min,atwork,-0.076
modeChoice,Path,egressTime,hov3_teleportation,util/min,work,-0.054
modeChoice,Path,egressTime,hov3_teleportation,util/min,univ,-0.09
modeChoice,Path,egressTime,hov3_teleportation,util/min,school,-0.09
modeChoice,Path,egressTime,hov3_teleportation,util/min,escort,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,shopping,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,eatout,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,othmaint,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,social,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,hov3_teleportation,util/min,atwork,-0.076
modeChoice,Path,egressTime,ride_hail,util/min,work,-0.054
modeChoice,Path,egressTime,ride_hail,util/min,univ,-0.09
modeChoice,Path,egressTime,ride_hail,util/min,school,-0.09
modeChoice,Path,egressTime,ride_hail,util/min,escort,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,shopping,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,eatout,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,othmaint,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,social,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,ride_hail,util/min,atwork,-0.076
modeChoice,Path,egressTime,ride_hail_pooled,util/min,work,-0.054
modeChoice,Path,egressTime,ride_hail_pooled,util/min,univ,-0.09
modeChoice,Path,egressTime,ride_hail_pooled,util/min,school,-0.09
modeChoice,Path,egressTime,ride_hail_pooled,util/min,escort,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,shopping,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,eatout,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,othmaint,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,social,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,ride_hail_pooled,util/min,atwork,-0.076
modeChoice,Path,egressTime,ride_hail_transit,util/min,work,-0.054
modeChoice,Path,egressTime,ride_hail_transit,util/min,univ,-0.09
modeChoice,Path,egressTime,ride_hail_transit,util/min,school,-0.09
modeChoice,Path,egressTime,ride_hail_transit,util/min,escort,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,shopping,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,eatout,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,othmaint,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,social,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,ride_hail_transit,util/min,atwork,-0.076
modeChoice,Path,egressTime,walk,util/min,work,
modeChoice,Path,egressTime,walk,util/min,univ,
modeChoice,Path,egressTime,walk,util/min,school,
modeChoice,Path,egressTime,walk,util/min,escort,
modeChoice,Path,egressTime,walk,util/min,shopping,
modeChoice,Path,egressTime,walk,util/min,eatout,
modeChoice,Path,egressTime,walk,util/min,othmaint,
modeChoice,Path,egressTime,walk,util/min,social,
modeChoice,Path,egressTime,walk,util/min,othdiscr,
modeChoice,Path,egressTime,walk,util/min,atwork,
modeChoice,Path,egressTime,walk_transit,util/min,work,-0.054
modeChoice,Path,egressTime,walk_transit,util/min,univ,-0.09
modeChoice,Path,egressTime,walk_transit,util/min,school,-0.09
modeChoice,Path,egressTime,walk_transit,util/min,escort,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,shopping,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,eatout,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,othmaint,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,social,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,othdiscr,-0.07
modeChoice,Path,egressTime,walk_transit,util/min,atwork,-0.076
modeChoice,Path,originCloseToTransit,bike,util,work,
modeChoice,Path,originCloseToTransit,bike,util,univ,
modeChoice,Path,originCloseToTransit,bike,util,school,
modeChoice,Path,originCloseToTransit,bike,util,escort,
modeChoice,Path,originCloseToTransit,bike,util,shopping,
modeChoice,Path,originCloseToTransit,bike,util,eatout,
modeChoice,Path,originCloseToTransit,bike,util,othmaint,
modeChoice,Path,originCloseToTransit,bike,util,social,
modeChoice,Path,originCloseToTransit,bike,util,othdiscr,
modeChoice,Path,originCloseToTransit,bike,util,atwork,
modeChoice,Path,originCloseToTransit,bike_transit,util,work,-0.358
modeChoice,Path,originCloseToTransit,bike_transit,util,univ,-0.598
modeChoice,Path,originCloseToTransit,bike_transit,util,school,-0.598
modeChoice,Path,originCloseToTransit,bike_transit,util,escort,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,shopping,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,eatout,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,othmaint,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,social,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,othdiscr,-0.466
modeChoice,Path,originCloseToTransit,bike_transit,util,atwork,-0.502
modeChoice,Path,originCloseToTransit,car,util,work,
modeChoice,Path,originCloseToTransit,car,util,univ,
modeChoice,Path,originCloseToTransit,car,util,school,
modeChoice,Path,originCloseToTransit,car,util,escort,
modeChoice,Path,originCloseToTransit,car,util,shopping,
modeChoice,Path,originCloseToTransit,car,util,eatout,
modeChoice,Path,originCloseToTransit,car,util,othmaint,
modeChoice,Path,originCloseToTransit,car,util,social,
modeChoice,Path,originCloseToTransit,car,util,othdiscr,
modeChoice,Path,originCloseToTransit,car,util,atwork,
modeChoice,Path,originCloseToTransit,drive_transit,util,work,
modeChoice,Path,originCloseToTransit,drive_transit,util,univ,
modeChoice,Path,originCloseToTransit,drive_transit,util,school,
modeChoice,Path,originCloseToTransit,drive_transit,util,escort,
modeChoice,Path,originCloseToTransit,drive_transit,util,shopping,
modeChoice,Path,originCloseToTransit,drive_transit,util,eatout,
modeChoice,Path,originCloseToTransit,drive_transit,util,othmaint,
modeChoice,Path,originCloseToTransit,drive_transit,util,social,
modeChoice,Path,originCloseToTransit,drive_transit,util,othdiscr,
modeChoice,Path,originCloseToTransit,drive_transit,util,atwork,
modeChoice,Path,originCloseToTransit,hov2,util,work,
modeChoice,Path,originCloseToTransit,hov2,util,univ,
modeChoice,Path,originCloseToTransit,hov2,util,school,
modeChoice,Path,originCloseToTransit,hov2,util,escort,
modeChoice,Path,originCloseToTransit,hov2,util,shopping,
modeChoice,Path,originCloseToTransit,hov2,util,eatout,
modeChoice,Path,originCloseToTransit,hov2,util,othmaint,
modeChoice,Path,originCloseToTransit,hov2,util,social,
modeChoice,Path,originCloseToTransit,hov2,util,othdiscr,
modeChoice,Path,originCloseToTransit,hov2,util,atwork,
